Футбол. Россия. Премьер-Лига
2020-07-01;20:00:00;Зонненхоф Гроссашпах;Мюнхен 1860;3.6;3.45;1.95
2020-07-01;20:00:00;Унтерхахинг;Карл Цейсс;1.45;4.4;6.2
Футбол. Германия. Региональная лига. Плей-офф. Финал. Ответный матч
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-30;17:00:00;Верль;Локомотив Лейпциг;1.9;3.5;3.6
Футбол. Австрия. 1-я лига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-03;19:30:00;Блау-Вайс Линц;Хорн;2.05;3.75;3.1
2020-07-03;19:30:00;Лиферинг;Аустрия Люстенау;1.35;5.0;7.0
2020-07-03;19:30:00;Капфенберг;Ваккер Инсбрук;4.4;4.2;1.65
2020-07-03;21:25:00;Форвертс Штайр;Рид;4.7;4.3;1.57
2020-07-04;16:00:00;Дорнбирн 1913;Лафнитц;4.2;4.3;1.65
2020-07-04;21:25:00;Аустрия Клагенфурт;Юниорс;1.5;4.3;5.3
2020-07-05;11:30:00;Аустрия-2 Вена;Грац АК;2.0;3.5;3.4
2020-07-05;21:25:00;Амштеттен;Флоридсдорф АК;2.05;3.6;3.1
Футбол. Болгария. Кубок. София. Финал
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-01;19:15:00;ЦСКА София;Локомотив Пловдив;2.2;3.0;3.4
Футбол. Дания. 1-й дивизион
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-30;19:00:00;ХБ Кеге;Вайле;4.0;3.5;1.83
2020-06-30;20:00:00;Колдинг ИФ;Скиве;2.15;3.3;3.2
2020-06-30;20:00:00;Нествед;Виборг;5.0;4.0;1.6
2020-07-01;19:00:00;Фремад Амагер;Нюкебинг;2.35;3.3;2.85
2020-07-01;20:00:00;Роскильде;Веннсюссель;3.7;3.5;1.9
2020-07-02;19:30:00;Фредерисия;Хвидовре;1.95;3.6;3.45
Футбол. Израиль. Премьер-Лига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-30;20:15:00;Хапоэль Тель-Авив;Хапоэль Беэр-Шева;3.4;3.4;2.0
